Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,113.411,-91.2622,0.0,top
C10,100nF,C_0805_2012Metric,168.91,-100.457,90.0,top
C16,10u,C_0805_2012Metric,146.247,-101.346,180.0,top
C18,10u,C_0805_2012Metric,136.1205,-106.045,180.0,top
C19,1uF,C_1206_3216Metric,174.244,-97.282,180.0,top
C20,100nF 100V,C_0805_2012Metric,175.768,-94.996,180.0,top
C21,1uF,C_0805_2012Metric,173.9036,-86.6648,180.0,top
C22,10nF,C_0805_2012Metric,169.3965,-90.866,90.0,top
C23,10nF,C_0805_2012Metric,173.863,-82.296,180.0,top
C24,3.3nF,C_0805_2012Metric,170.2266,-82.3448,0.0,top
C25,47uF,C_1210_3225Metric,162.1575,-90.739,180.0,top
C4,10u,C_0805_2012Metric,119.1006,-91.313,0.0,top
C7,10u,C_0805_2012Metric,142.7262,-83.7184,180.0,top
C8,100nF,C_0805_2012Metric,119.3597,-100.7669,0.0,top
C9,100nF,C_0805_2012Metric,152.654,-100.0252,-90.0,top
D2,GREEN,LED_0805_2012Metric,138.8927,-90.984148,0.0,top
D3,RED,LED_0805_2012Metric,138.8927,-87.428148,0.0,top
D4,400V 1A 1.3V @ 1A 150ns SMA,D_SMA,166.4755,-92.771,-90.0,top
F1,"Fuse, 0.5A",Fuse_1210_3225Metric,177.673,-86.741,90.0,top
L1,1mH,L_TDK_SLF7045,163.322,-85.1275,180.0,top
PS1,MEE1S0505SC,Converter_DCDC_Murata_MEE1SxxxxSC_THT,116.0577,-94.3524,-90.0,top
R1,4k7,R_0805_2012Metric,136.1205,-108.331,0.0,top
R10,4k7,R_0805_2012Metric,157.020524,-84.683048,180.0,top
R11,4k7,R_0805_2012Metric,157.020524,-86.715048,180.0,top
R12,330R,R_0805_2012Metric,142.6246,-91.0082,0.0,top
R13,330R,R_0805_2012Metric,142.6265,-87.4268,0.0,top
R14,470R,R_0805_2012Metric,156.9212,-91.0317,180.0,top
R15,10K,R_0805_2012Metric,153.1112,-108.0516,90.0,top
R16,120R,R_0805_2012Metric,168.91,-107.696,-90.0,top
R17,10k,R_0805_2012Metric,131.191,-96.012,180.0,top
R18,4k7,R_0805_2012Metric,128.0395,-98.933,180.0,top
R2,4k7,R_0805_2012Metric,149.352,-100.203,90.0,top
R20,680k,R_0805_2012Metric,178.181,-90.932,90.0,top
R21,150k,R_0805_2012Metric,171.831,-94.996,0.0,top
R22,470k,R_0805_2012Metric,170.2266,-86.6628,0.0,top
R23,10k,R_0805_2012Metric,170.2481,-84.5058,0.0,top
R24,10k,R_0805_2012Metric,173.9036,-84.5058,0.0,top
R7,10k,R_0805_2012Metric,128.1055,-103.19,0.0,top
R8,10k,R_0805_2012Metric,128.1328,-105.3998,0.0,top
R9,100K,R_0805_2012Metric,157.020524,-88.747048,0.0,top
RV1,500,Potentiometer_Bourns_3296W_Vertical,145.796,-106.807,0.0,top
U1,ACPL-C870,SSO-8_6.8x5.9mm_P1.27mm_Clearance8mm,116.4252,-105.3389,0.0,top
U2,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,137.3414,-100.203,0.0,top
U3,ACS758xCB-200B-PFF,Allegro_CB_PFF,128.4578,-81.9344,0.0,top
U4,ATtiny1614-SS,SOIC-14_3.9x8.7mm_P1.27mm,149.123024,-87.9348,0.0,top
U5,ADM2483xRW,SOIC-16W_7.5x10.3mm_P1.27mm,160.655,-104.1908,0.0,top
U6,LM5009A,MSOP-8_3x3mm_P0.65mm,173.863,-90.932,0.0,top
