Designator,Footprint,Quantity,Value,LCSC Part #
"_143, _142, _141, _140, _139, _138, _137, _136, _135, _134, _133, _132, _131, _130, _129, _128, _127, _126, _125, _124, _123, _122, _121, _120, _119, _118, _117, _116, _115, _114, _113, _112, _111, _110, _109, _108, _107, _106, _105, _104, _103, _102, _101, _100, _99, _98, _97, _96, _95, _94, _93, _92, _91, _90, _89, _88, _87, _86, _85, _84, _83, _82, _81, _80, _79, _78, _77, _76, _75, _74, _73, _72, _71, _70, _69, _68, _67, _66, _65, _64, _63, _62, _61, _60, _59, _58, _57, _56, _55, _54, _53, _52, _51, _50, _49, _48, _47, _46, _45, _44, _43, _42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,143,,
"C1, C16, C18, C4, C7",0805,5,10u,
"C10, C8, C9",0805,3,100nF,
"C11, C12, C13, C14, C15, C17, C2, C26, C3, C5",0805,10,100n,
C19,1206,1,1uF,
C20,0805,1,100nF 100V,
C21,0805,1,1uF,
"C22, C23",0805,2,10nF,
C24,0805,1,3.3nF,
C25,1210,1,47uF,
C6,0805,1,1n,
D1,D_SMA,1,SMAJ5.0A,
D2,0805,1,GREEN,
D3,0805,1,RED,
D4,D_SMA,1,400V 1A 1.3V @ 1A 150ns SMA,
F1,1210,1,"Fuse, 0.5A",
J1,"PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal",1,Screw_Terminal_01x03,
J2,PinHeader_1x11_P2.54mm_Vertical,1,Conn_01x11_Pin,
J3,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",1,Screw_Terminal_01x04,
J4,Wuerth_REDCUBE-THR_WP-THRBU_74650194_THR,1,9x9 PIN connector,
J6,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,Screw_Terminal_01x02,
JP1,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,1,SolderJumper_2_Bridged,
L1,L_TDK_SLF7045,1,1mH,
PS1,Converter_DCDC_Murata_MEE1SxxxxSC_THT,1,MEE1S0505SC,
"R1, R10, R11, R18, R2",0805,5,4k7,
"R12, R13",0805,2,330R,
R14,0805,1,470R,
"R15, R17, R23, R24, R7, R8",0805,6,10K,
R16,0805,1,120R,
R20,0805,1,680k,
R21,0805,1,150k,
R22,0805,1,470k,
"R3, R4, R5",PP | R_MELF_MMB-0207 | 0805 Compatible,3,402k,
R6,PP _ R_MELF_MMB-0207 _ 0805 Compatible,1,4k7,
R9,0805,1,100K,
RV1,Potentiometer_Bourns_3296W_Vertical,1,500,
U1,SSO-8_6.8x5.9mm_P1.27mm_Clearance8mm,1,ACPL-C870,
U2,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,
U3,Allegro_CB_PFF,1,ACS758xCB-200B-PFF,
U4,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny1614-SS,
U5,SOIC-16W_7.5x10.3mm_P1.27mm,1,ADM2483xRW,
U6,MSOP-8_3x3mm_P0.65mm,1,LM5009A,
